code,name,tmin,tmax,t10th,t90th,ppt,p10th,p90th,h10th,h90th,c10th,c90th,area5m
MOZ,Mozambique,18.5,29.1,1.9,2.4,1031,-69,61,5.0,15.0,-2.2,-2.5,1.83
TJK,Tajikistan,-3.9,7.9,2.3,3.4,491,-46,27,3.2,7.0,-1.4,-1.5,0.00
HTI,Haiti,20.1,29.7,1.5,1.8,1440,-125,34,12.6,23.1,-2.8,-2.8,3.94
BRB,Barbados,22.4,29.6,1.4,1.7,2066,-154,14,13.7,23.6,-3.0,-2.9,15.69
LCA,St. Lucia,22.2,28.8,1.4,1.7,2301,-159,14,14.1,24.1,-3.0,-2.9,8.02
IND,India,17.7,29.6,1.9,2.6,1083,-91,135,4.6,13.3,-2.0,-2.2,1.35
VCT,St. Vincent and the Grenadines,23.4,30.2,1.4,1.7,1583,-165,15,14.5,24.6,-3.0,-3.0,21.96
BTN,Bhutan,1.2,13.6,1.9,3.0,1667,-112,298,2.9,8.7,-2.0,-2.1,0.00
VNM,Vietnam,20.6,28.3,1.4,2.1,1821,-107,61,5.7,14.4,-1.5,-1.5,17.50
NOR,Norway,-2.0,5.0,1.8,3.3,1119,41,131,2.2,4.8,-1.8,-1.8,4.85
CZE,Czech Republic,3.3,11.8,1.9,2.8,677,-43,55,2.5,4.7,-1.5,-1.6,0.00
TMP,Timor-Leste,1.3,1.7,-123,206,16.1,25.9,-3.0,-3.0,2.89
ATG,Antigua and Barbuda,22.5,29.5,1.3,1.7,2420,-104,37,12.8,23.2,-3.0,-3.0,32.42
FJI,Fiji,20.9,27.9,1.3,1.7,2593,-93,271,10.0,17.5,-2.7,-2.7,11.36
HND,Honduras,18.9,28.1,1.6,2.6,1976,-204,15,10.2,24.5,-2.2,-2.5,3.04
MUS,Mauritius,18.9,25.9,1.3,1.7,2041,-165,67,8.5,13.7,-2.9,-2.9,7.07
DOM,Dominican Republic,19.9,29.2,1.5,1.8,1410,-128,30,12.1,23.6,-2.8,-2.9,4.14
LUX,Luxembourg,4.4,12.9,1.5,2.5,934,-86,26,2.9,5.0,-1.4,-1.4,0.00
ISR,Israel,13.4,25.0,1.9,2.7,435,-41,-11,3.7,7.7,-1.6,-1.8,7.82
SMR,San Marino,8.2,15.5,1.9,3.0,840,-111,3,3.6,6.2,-1.5,-1.4,0.00
PER,Peru,13.5,25.7,2.1,2.7,1493,-57,181,7.7,22.9,-2.5,-2.7,0.38
SXM,Sint Maarten (Dutch part),..
IDN,Indonesia,21.1,30.6,1.5,1.8,2702,-160,234,16.5,26.7,-2.8,-2.9,5.50
VUT,Vanuatu,20.6,27.3,1.3,1.7,2876,-163,180,10.4,18.7,-2.8,-2.8,11.68
GNQ,Equatorial Guinea,20.6,28.5,1.8,2.1,2156,-16,129,12.6,27.1,-2.8,-2.9,0.92
SUR,Suriname,21.3,30.1,1.9,2.9,2331,-138,107,9.9,26.6,-2.4,-3.0,3.45
COG,Congo Rep.,19.8,29.3,2.0,2.3,1646,-40,134,9.1,26.5,-2.3,-2.7,0.05
ISL,Iceland,-1.1,4.6,0.9,2.3,978,-1,101,3.1,5.7,-1.4,-1.5,4.41
ETH,Ethiopia,15.5,28.9,2.1,2.5,848,-42,79,6.6,21.4,-2.0,-2.7,0.67
NER,Niger,19.4,34.9,2.4,2.8,151,-71,36,5.4,12.2,-1.8,-2.4,0.00
COL,Colombia,19.6,29.4,1.8,2.5,2612,-80,199,7.9,26.6,-2.4,-2.9,0.94
PRT,Portugal,10.2,20.1,1.3,2.3,855,-113,-7,4.5,8.7,-2.0,-1.9,2.31
NRU,Nauru,24.5,30.8,1.3,2.1,2445,-60,565,17.7,25.9,-3.0,-2.9,40.36
MDA,Moldova,5.0,13.9,2.0,3.3,553,-72,11,2.8,5.2,-1.5,-1.6,1.30
STP,Sao Tome and Principe,20.5,27.0,1.5,2.0,2169,-42,137,20.0,27.0,-3.0,-3.0,14.72
MDG,Madagascar,18.0,27.3,1.7,2.1,1513,-104,56,7.6,15.7,-2.5,-2.7,1.34
ECU,Ecuador,15.6,28.1,1.8,2.3,2087,22,273,9.5,24.4,-2.6,-2.8,2.04
SEN,Senegal,20.8,34.9,2.0,2.7,687,-124,37,7.1,16.9,-2.3,-2.6,4.46
MDV,Maldives,24.8,30.5,1.5,1.8,1972,-2,319,21.7,27.1,-3.0,-3.0,100.00
ASM,American Samoa,1.3,1.6,-40,237,16.3,25.4,-2.8,-2.8,17.89
SRB,Serbia,2.0,3.1,-125,-15,3.2,6.1,-1.5,-1.4,0.19
FRA,France,6.5,14.9,1.6,2.6,867,-112,2,3.6,6.3,-1.5,-1.5,2.07
LTU,Lithuania,2.3,10.1,2.0,3.0,656,22,83,2.0,4.8,-1.6,-1.8,1.91
RWA,Rwanda,11.9,23.8,2.1,2.4,1212,-12,211,8.3,26.4,-2.2,-2.8,0.00
ZMB,Zambia,14.5,28.3,2.1,2.7,1020,-54,94,4.0,17.7,-2.0,-2.5,0.00
GMB,Gambia The,20.4,34.6,2.1,2.7,837,-87,26,6.7,16.8,-2.3,-2.6,16.58
FRO,Faeroe Islands,3.8,8.4,0.6,1.6,1578,16,95,3.5,4.7,-1.3,-1.5,14.55
GTM,Guatemala,18.2,28.7,1.7,2.8,2712,-186,22,7.8,21.6,-1.7,-1.7,0.56
DNK,Denmark,4.3,10.7,1.6,2.5,703,21,87,2.6,5.2,-1.6,-1.7,17.67
ZWE,Zimbabwe,14.2,27.8,2.2,2.9,692,-81,24,3.8,13.2,-1.9,-2.3,0.00
AUS,Australia,14.9,28.4,1.7,2.4,535,-67,54,3.6,9.3,-1.8,-1.9,1.14
AUT,Austria,2.3,10.4,1.9,2.9,1110,-70,27,2.9,5.2,-1.4,-1.5,0.00
VEN,Venezuela RB,20.3,30.4,1.8,2.9,1875,-150,85,9.1,26.5,-2.5,-2.9,2.29
ADO,Andorra,2.9,12.3,1.8,2.8,973,-113,-22,4.0,7.2,-1.8,-1.6,0.00
IRN,Iran Islamic Rep.,10.1,24.4,2.2,3.3,228,-51,6,3.3,7.1,-1.4,-1.4,1.59
PLW,Palau,24.1,31.1,1.4,1.7,3259,-89,172,25.4,27.2,-3.0,-3.0,21.37
KEN,Kenya,18.9,30.6,1.9,2.1,692,0,144,8.1,25.0,-2.0,-2.9,0.24
LAO,Lao PDR,18.2,27.4,1.6,2.4,1834,-95,70,3.1,12.7,-1.1,-1.3,0.00
TUR,Turkey,5.4,16.8,1.9,2.9,593,-103,-29,3.1,6.3,-1.5,-1.4,1.03
ALB,Albania,6.3,16.5,1.9,2.9,996,-147,-44,3.2,6.5,-1.5,-1.4,4.97
OMN,Oman,20.8,30.4,2.0,2.4,125,-16,31,4.4,11.8,-1.9,-2.1,1.08
TUV,Tuvalu,24.9,31.1,1.4,1.9,3035,9,651,24.0,27.3,-3.0,-3.0,100.00
